,id,bedrooms,beds,review_scores_rating,price,allowed,dryer,essentials,hot,kitchen,long,parking,term,tv,wifi,room_type_entire_home_apt,room_type_private_room,property_type_Entire_condominium_condo,property_type_Entire_loft,property_type_Entire_rental_unit,property_type_Private_room_in_rental_unit,property_type_Private_room_in_residential_home
0,30950,1.0,2.0,4.5,260000.0,1,2,1,2,1,1,4,1,1,1,1,0,0,0,1,0,0
1,52811,1.0,1.0,4.42,46513.0,1,2,1,1,1,1,2,1,2,1,1,0,0,0,1,0,0
2,53494,2.0,8.0,4.76,149999.0,1,0,1,1,1,1,1,1,2,0,1,0,0,0,1,0,0
3,55303,2.0,4.0,5.0,70000.0,1,0,0,0,1,1,0,1,2,1,1,0,0,0,1,0,0
6,90694,1.0,1.0,4.67,36002.739726027394,1,1,1,1,1,1,0,1,2,0,1,0,0,0,1,0,0
7,90769,1.0,1.0,5.0,36000.0,1,1,0,0,1,1,0,1,2,0,1,0,0,0,1,0,0
11,122810,1.0,1.0,5.0,29939.775342465753,2,2,1,1,1,1,0,1,2,1,1,0,0,0,1,0,0
13,133295,2.0,2.0,4.83,172272.0,2,2,1,2,1,1,1,1,2,2,1,0,0,0,1,0,0
14,135927,1.0,1.0,4.78,56952.0,1,2,1,1,1,1,0,1,2,1,1,0,0,0,1,0,0
15,136438,1.0,2.0,4.7,65463.0,1,2,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
16,139484,1.0,1.0,4.62,24000.0,2,1,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
19,154395,2.0,4.0,4.9,46161.643835616436,2,1,1,1,1,1,2,1,2,1,1,0,0,0,1,0,0
20,154615,1.0,1.0,4.56,37262.4,1,1,1,2,1,1,1,1,2,1,1,0,0,0,1,0,0
21,160729,1.0,2.0,4.65,22395.0,1,2,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0
24,191754,1.0,1.0,4.78,34454.0,2,2,1,2,1,1,2,1,2,1,1,0,0,0,1,0,0
25,202286,1.0,1.0,4.58,23923.287671232876,1,2,1,1,1,1,2,1,2,1,1,0,0,0,1,0,0
27,242546,1.0,4.0,4.79,38768.08219178082,1,2,1,1,1,1,2,1,2,1,1,0,0,0,1,0,0
32,288216,1.0,1.0,4.71,21616.6,1,2,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0
35,331061,1.0,1.0,4.56,57227.0,1,1,0,0,1,1,0,1,2,1,1,0,0,0,1,0,0
36,354516,2.0,4.0,4.26,64602.0,1,1,0,0,1,1,0,1,2,1,1,0,0,0,1,0,0
41,414512,2.0,3.0,4.96,118006.0,2,2,1,2,1,1,2,1,1,1,1,0,0,0,1,0,0
42,418760,1.0,1.0,4.63,18084.931506849316,1,1,1,1,1,1,2,1,0,1,1,0,0,0,1,0,0
43,420325,2.0,1.0,5.0,559883.0,1,0,0,0,1,1,1,1,2,0,1,0,0,0,1,0,0
44,429669,2.0,4.0,4.91,111977.0,1,2,1,1,1,1,4,1,2,2,1,0,0,0,1,0,0
